No,大分類,機能・タスク,クライアントの意図（なぜ必要か）,優先度,ステータス,依存・備考
1,コア相談体験,LINE Webhook受信（署名検証・rawBody）,LINE公式から安全にメッセージを受け取る土台。改ざん防止,高,✅完了,基盤
2,コア相談体験,AI一次対応（傾聴・共感）,"""消火器型""窓口。まず社員の話を聴いて受け止める",高,✅完了,claude-opus-4-8
3,コア相談体験,会話のラリー（すぐ繋がず詳細を聴く）,"""まず詳細を聞く""クライアント要望。信頼構築が価値の核",高,✅完了,
4,コア相談体験,共感と解決の出し分け（寄り添い7:前向き3）,FB②。産業医感を消し、寄り添いと前向きを融合,高,✅完了,FB②反映
5,コア相談体験,危機対応（命のホットラインは本当の危機時のみ）,安全最優先。ただし簡単にホットラインを出さない,高,✅完了,detectLifeCrisis
6,コア相談体験,作話防止（言っていないことを足さない）,信頼性の根幹。誤った情報で社員を傷つけない,高,✅完了,最優先ルール
7,コア相談体験,文字化け対策（検知→再生成→安全定型）,壊れた文を絶対に見せない。品質保証,高,✅完了,isGarbledReply
8,コア相談体験,個人ごと継続学習プロフィール,再訪時に前回を覚えている＝寄り添いの質向上,高,✅完了,user_profiles
9,コア相談体験,支援スタイル学習（共感重視/解決重視）,FB①アンケート結果を次回の対応に反映,中,✅完了,support_style
10,コア相談体験,会話後アンケート（希望形で聴く）,FB①。満足度と好みを負担なく収集,中,✅完了,feedback表
11,コア相談体験,期待値マネジメント（共有先＝運営で上司でない明示）,FB③。安心して話せる前提を明確に伝える,高,✅完了,FB③反映
12,コア相談体験,ナレッジベース（想定質問52問＋拡張）,相談の質を担保。抜け漏れのない対応,高,✅完了,knowledge.js
13,登録・テナント,個人登録（企業番号→登録フォーム）,誰がどの会社かを特定。相談前の1分登録,高,✅完了,
14,登録・テナント,企業番号の必須化,会社を確実に紐付け（テナント分離の起点）,高,✅完了,
15,登録・テナント,マルチテナント分離（company_id＋RLS）,"""A社情報がB社に届かない""絶対要件",高,✅完了,セキュリティ核
16,登録・テナント,企業番号（invite_code）の発行運用,運営が新規企業を登録する運用フロー,中,✅完了,SQLで発行
17,登録・テナント,部署の登録項目,部署別レポートを出すための元データ,中,☐未着手,レポート部署別の前提
18,登録・テナント,匿名/実名の送信選択,要件5-7。社員が名乗るか選べる安心設計,中,☐未着手,要件書
19,メンター・有人,メンター3名カード（写真・タグ・Spir予約）,Lステップ級の見やすさ。相談相手を選べる,高,✅完了,mentorui.js
20,メンター・有人,リッチメニュー（相談/メンター/今すぐ）,LINE下部から迷わず導線へ,高,✅完了,スマホのみ表示
21,メンター・有人,今すぐ相談＝緊急窓口（メンターと別対応）,"""緊急は別の人が対応""クライアント要望",高,✅完了,emergencyFlex
22,メンター・有人,全画面から戻れるナビ（行き止まりなし）,どのボタンを押しても他の相談に戻れる,高,✅完了,navQuickReply
23,メンター・有人,坂田・朝日田の実Spir URL差し替え,現在は岡本さんのリンクを暫定流用,中,☐未着手,クライアント提供待ち
24,メンター・有人,メンター在席状況（何分後に対応可能）,期待値マネジメント。待ち時間を明示,低,☐未着手,運用設計要
25,メンター・有人,指名後のフォロー・対応状況管理,FB④。繋いだ後どうなったかを追跡,中,☐未着手,運用＋DB設計
26,メンター・有人,相談手段の選択（電話/Zoom）,要件5-3。相談者が手段を選べる,低,☐未着手,要件書
27,レポート（経営向け）,会社別 月次レポート（匿名集計）,社長・人事に組織の状態を共有（サービスの主要価値）,高,✅完了,report.js
28,レポート（経営向け）,AI経営サマリー（所見・注目点・提言）,数字の羅列でなく""何が起きているか""を経営目線で,高,✅完了,execSummary
29,レポート（経営向け）,前月比トレンド（増減矢印）,変化に気づける。継続利用の価値,中,✅完了,
30,レポート（経営向け）,トークン保護・会社別スコープ,他社レポートが見えない。セキュリティ,高,✅完了,report_token
31,レポート（経営向け）,HTML/CSV/text/json 出力,社長画面・スプシ・通知など用途別に出せる,中,✅完了,
32,レポート（経営向け）,運営ダッシュボード（全社一覧）,運営が全導入企業を1画面で把握（今回追加）,高,✅完了,reportToAdminHtml
33,レポート（経営向け）,部署別・時期別の詳細集計,部署ごとの傾向で打ち手を具体化,中,☐未着手,No.17部署登録が前提
34,レポート（経営向け）,対応アクション・結果の記載,FB⑤。相談→対応→結果まで見える化,中,☐未着手,運用＋DB設計
35,レポート（経営向け）,全社還元フロー（社員へのフィードバック）,FB⑤。集めた声を全社に還元する仕組み,中,☐未着手,運用設計
36,レポート（経営向け）,定期自動配信（cron/メール/PDF）,毎月手動でなく自動で社長に届く,中,☐未着手,cron＋配信基盤
37,定期プッシュ,週次コンディション・アンケート配信,要件MVP。社員の状態を定点観測,中,☐未着手,cron・company_id厳格絞り
38,定期プッシュ,リスク回答→分岐→相談導線,不調サインを検知し相談へつなぐ,中,☐未着手,No.37の後続
39,定期プッシュ,配信対象の会社別厳格スコープ,他社社員に配信されない安全設計,高,☐未着手,セキュリティ
40,課金・請求,固定部分の自動算出（月額5万＋人数×500）,登録社員数から毎月の請求額を自動計算,高,☐未着手,employees数から算出可
41,課金・請求,相談従量の稼働時間データ源,Notion単価表の従量課金の元データ（現状なし）,高,☐未着手,Spir連携or手動入力の設計要
42,課金・請求,優先度別 時間単価の反映（低/中/高）,Notion単価表通りに従量を計算,中,☐未着手,No.41が前提
43,課金・請求,請求書の自動生成,毎月の請求業務を効率化,低,☐未着手,
44,課金・請求,初期費用・役員面談の計上,初期30万＋役員10万/名を請求に反映,低,☐未着手,運用管理
45,運営ツール,運営ダッシュボード（全社一覧）,全導入企業の状況を運営が一目で把握,高,✅完了,No.32と同一（実装済）
46,運営ツール,メンター・企業メンター設定UI,現在SQL手動。運営が画面から設定,中,☐未着手,今はSQLで代替
47,運営ツール,エスカレーション通知の本接続,緊急時に運営へ確実に通知,高,☐未着手,当面Spir＋外部窓口で代替
48,運営ツール,対応状況・SLA管理,緊急対応の抜け漏れ・遅延を防ぐ,中,☐未着手,運用設計
49,運営ツール,企業の新規登録UI,運営が画面から企業・企業番号を発行,低,☐未着手,今はSQLで代替
50,安全・法務,プライバシーポリシー＋利用同意,個人情報を扱う以上、公開前に必須,高,☐未着手,許可済で後回し可
51,安全・法務,LINE標準あいさつメッセージOFF,1通目を自作メッセージにするための設定,中,☐未着手,LINE設定作業
52,安全・法務,緊急の外部連携先の確定,本当の危機時に繋ぐ先（山本さん等）,高,☐未着手,クライアント確定待ち
53,安全・法務,データ保持・削除方針,どのデータをいつまで持つか。法務対応,中,☐未着手,方針決め
54,安全・法務,個人情報の最小化・暗号化方針,"""セキュリティはガチガチに""絶対要件",高,☐未着手,RLS実装済＋方針明文化
55,基盤・インフラ,Claude API（claude-opus-4-8）接続,AI相談の頭脳。品質重視モデル,高,✅完了,
56,基盤・インフラ,Supabase（DB・RLS）,相談ログ・社員・会社の安全な保存,高,✅完了,
57,基盤・インフラ,Vercel自動デプロイ,gitプッシュで自動反映。開発を速く,高,✅完了,
58,基盤・インフラ,LINEアクセストークン自動更新,トークン失効での停止を防ぐ,高,✅完了,
59,基盤・インフラ,REPORT_ACCESS_TOKEN（運営マスタ）設定,運営ダッシュボードを開くための鍵,高,☐未着手,Vercel環境変数に要設定
